,coef,se,t,p,ci_low,ci_high
const,0.18065969150857802,0.040417312541652914,4.469859081362606,7.82711494975425e-06,0.10144321457503928,0.25987616844211675
FEMALE,-0.05182079495625615,0.01357555178702293,-3.8172146347518936,0.00013496675127903297,-0.07842838752907946,-0.025213202383432835
RACE_BLACK,0.09808386528246883,0.02591437272766013,3.7849214531740296,0.00015375713338561993,0.04729262805430797,0.1488751025106297
RACE_HISPANIC,0.0266694357441269,0.024968760161601353,1.0681121357856191,0.28546993224947526,-0.02226843491123025,0.07560730639948406
RACE_MIXED,0.033524545643385625,0.06383007002813819,0.5252155548099353,0.5994333529280743,-0.09158009274243477,0.158629184029206
BIOMOMAGE,-0.0020952651620788553,0.0011743538844160085,-1.7841854911739867,0.0743935290985563,-0.004396956480638946,0.00020642615648123466
NUMSIBS,-0.009996546660392,0.004772749450121952,-2.094504805848665,0.036215035407592834,-0.019350963689864373,-0.0006421296309196273
FAM_ONE_PARENT,0.02117579647661762,0.014119973765389674,1.499705086458652,0.13369081242170403,-0.006498843566196556,0.0488504365194318
FAM_BIO_STEP,0.004396466662478572,0.01736721412371779,0.2531474899289963,0.8001542420431348,-0.029642647531803644,0.03843558085676079
FAM_OTHER,0.1232060362246997,0.09277021567124895,1.3280775013104051,0.18415250518211823,-0.05862024532896157,0.30503231777836093
PAR_ED_HS,-0.04426300115544646,0.020285481093123243,-2.1820040132275476,0.029109236541197497,-0.08402181350703622,-0.004504188803856696
PAR_ED_SOME_COL,-0.03239616646113465,0.020857711652754265,-1.5531985004144369,0.120375719488419,-0.07327653010045442,0.008484197178185118
PAR_ED_COL,-0.041126875178031055,0.022526769589166717,-1.8256889881720662,0.06789712283131313,-0.08527853226082997,0.003024781904767862
POVRATIO97,-0.0015415156645804439,0.0021552169952747742,-0.7152484728731049,0.474455521723815,-0.005765663354187633,0.0026826320250267453
ASVAB_SCORE,-0.00012128784267810989,0.00022967534565647354,-0.5280838582453715,0.5974411337934676,-0.0005714432483015859,0.00032886756294536615
EARLY_DESTROY,0.036535051431099065,0.010927354561690614,3.343448885532143,0.0008274393574519763,0.015117830043885994,0.05795227281831214
EARLY_STEAL_UNDER,-0.0040368403434387886,0.01093955418385372,-0.3690132409049155,0.7121178553975607,-0.025477972550716543,0.017404291863838968
EARLY_STEAL_OVER,-0.010530610206185727,0.021120724622621802,-0.49859133123239024,0.6180673133757364,-0.051926469793912786,0.030865249381541327
EARLY_OTHER_PROP,0.043224636551466945,0.02187917222979945,1.9756065767696165,0.048199353189562706,0.00034224696951111466,0.08610702613342278
EARLY_GANG,0.03745542190136883,0.009233708808179761,4.0563789349939885,4.98393771173577e-05,0.01935768519360623,0.05555315860913143
EARLY_GUN,0.047555834690148825,0.016340254932760683,2.910348393329153,0.0036102607139373005,0.015529523523734927,0.07958214585656273
EARLY_RUNAWAY,0.059592662889227446,0.0174146964993165,3.421975392540798,0.0006216793977334722,0.025460484948871348,0.09372484082958354
EARLY_SMOKING,0.0026020475736597726,0.005938308201762332,0.438179947091253,0.6612558438524293,-0.009036822630893213,0.014240917778212757
EARLY_ALCOHOL,-0.0009304615533449454,0.005643463374131591,-0.16487420785079937,0.8690429936999848,-0.011991446514713755,0.010130523408023865
EARLY_MARIJUANA,0.02216205453571873,0.010267366893127197,2.1584944578686125,0.030889408842681376,0.002038385209130515,0.042285723862306945
EARLY_HARD_DRUGS,-0.009969102567572127,0.01848320462367622,-0.5393600715106578,0.5896384263867518,-0.046195517948861724,0.026257312813717466
EVER_ARR_BY17,0.0729816592621171,0.02330779682417091,3.1312122639765265,0.0017408628460138928,0.02729921692776506,0.11866410159646913
FEMALE_x_BLACK,-0.054783441935386805,0.03013220908913856,-1.8181024090641271,0.06904848187355901,-0.11384148652472885,0.0042746026539552395
FEMALE_x_HISPANIC,-0.041976944998716355,0.028722601110881096,-1.4614604309918875,0.1438891269362201,-0.09827220871835346,0.014318318720920743
