,coef,se,t,p,ci_low,ci_high
const,0.20797042047528608,0.039486082246677455,5.26692972921581,1.3872427715932009e-07,0.13057912138121186,0.2853617195693603
FEMALE,-0.07544333098655226,0.011269608099906089,-6.694405902826465,2.1654957319270597e-11,-0.09753135698224907,-0.05335530499085545
RACE_BLACK,0.06511195383652703,0.01718048944958676,3.7898776997935384,0.0001507214743903002,0.0314388132785666,0.09878509439448746
RACE_HISPANIC,0.004467908134149615,0.016318877941369644,0.27378770465726165,0.7842477729844909,-0.027516504899040027,0.036452321167339256
RACE_MIXED,0.03920411317927196,0.06584625329413064,0.5953886700910666,0.5515836971504724,-0.08985217179412601,0.1682603981526699
BIOMOMAGE,-0.0020750112774454745,0.0011780447660034356,-1.7614027389511129,0.07817026179300895,-0.004383936590988124,0.00023391403609717473
NUMSIBS,-0.011038628250179369,0.004790517807529881,-2.3042661970337566,0.02120770525168946,-0.020427870620235718,-0.0016493858801230193
FAM_ONE_PARENT,0.028105710203923304,0.014069427020626189,1.9976442653079984,0.04575524063242403,0.0005301399603812977,0.055681280447465314
FAM_BIO_STEP,0.010211938742372764,0.01757723450424991,0.5809752802640069,0.5612571139922913,-0.02423880783377181,0.04466268531851734
FAM_OTHER,0.12832488729586417,0.09188156896510201,1.3966336093433915,0.16252377809492435,-0.05175967871876894,0.3084094533104973
PAR_ED_HS,-0.046432894727313476,0.020248187578034222,-2.2931877012876516,0.021837200906216096,-0.08611861313247185,-0.006747176322155095
PAR_ED_SOME_COL,-0.0343454064259066,0.020869022426134982,-1.6457601954030527,0.09981314034461544,-0.07524793877368986,0.006557125921876669
PAR_ED_COL,-0.045553190580421496,0.022616621032828427,-2.0141466098892593,0.0439941431771925,-0.0898809532567563,-0.0012254279040866956
POVRATIO97,-0.0013888897305839873,0.0021559057760883772,-0.6442256178300867,0.5194291411277443,-0.005614387405779081,0.002836607944611106
ASVAB_SCORE,-0.00021233670077760395,0.0002285078772314448,-0.9292314267246822,0.35276916404210457,-0.000660203910334936,0.00023553050877972805
EARLY_DESTROY,0.04010395553385705,0.010803031934545806,3.712287048380659,0.00020539485412443897,0.018930402018311206,0.0612775090494029
EARLY_STEAL_UNDER,0.004214858636062658,0.010283628107963657,0.4098610521318508,0.6819078775078384,-0.015940682085949887,0.024370399358075206
EARLY_STEAL_OVER,0.0022462488553338586,0.02071689973615312,0.10842591719522218,0.9136578433735641,-0.03835812849885361,0.04285062620952133
EARLY_OTHER_PROP,0.04928458865207833,0.02186237332474685,2.254310999084955,0.024176609863454275,0.006435124319005309,0.09213405298515136
EARLY_GANG,0.04099789998772048,0.00922733139389484,4.443093917147733,8.867443527468868e-06,0.022912662782270818,0.05908313719317014
EARLY_GUN,0.05247903569134142,0.016317009995502906,3.216216433390986,0.0012989283034562135,0.02049828376477566,0.08445978761790718
EARLY_RUNAWAY,0.07453710101215938,0.0170710849911028,4.366277893350483,1.2638167252612005e-05,0.04107838925257562,0.10799581277174314
