,coef,se,t,p,ci_low,ci_high
const,0.31279251344267467,0.04064441072229198,7.695830936752131,1.4057758394666466e-14,0.2331309322541288,0.39245409463122055
FEMALE,-0.10354102765551695,0.011226185834026995,-9.22317064640781,2.8844226604329925e-20,-0.12554394757396362,-0.08153810773707029
RACE_BLACK,0.05226458423490479,0.01753083408858118,2.98129478442487,0.0028703235017809034,0.01790478080233862,0.08662438766747096
RACE_HISPANIC,0.0038581585022653686,0.01678563725672339,0.2298487953276844,0.8182092664334806,-0.02904108597846619,0.03675740298299693
RACE_MIXED,0.046008718599260444,0.06606325300301194,0.696434349019459,0.4861568580881669,-0.08347287798820052,0.17549031518672142
BIOMOMAGE,-0.002713080853814537,0.0012145738741445782,-2.2337717874306775,0.025498092767068423,-0.005093601903701194,-0.00033255980392787963
NUMSIBS,-0.010502021508721912,0.004886898505439272,-2.1490156787649326,0.03163315710638612,-0.020080166575485503,-0.0009238764419583212
FAM_ONE_PARENT,0.04562884119861123,0.014406137724130042,3.167319518414965,0.0015385117561228115,0.017393330102992526,0.07386435229422993
FAM_BIO_STEP,0.02170636861040845,0.017983298139294415,1.2070293470238886,0.22742084222234005,-0.01354024806585477,0.05695298528667167
FAM_OTHER,0.10913928931185526,0.0917027730492022,1.1901416465704662,0.23399072382885644,-0.07059484314703135,0.2888734217707419
PAR_ED_HS,-0.04700321897494464,0.02118379858639664,-2.218828638463744,0.026498384879726295,-0.08852270126003256,-0.005483736689856716
PAR_ED_SOME_COL,-0.029137467834197253,0.021871204561538675,-1.3322296790839117,0.18278472670447876,-0.0720042410733212,0.013729305404926694
PAR_ED_COL,-0.042664916491575985,0.023566820148682912,-1.8103807056872039,0.07023676927287562,-0.08885503521312738,0.003525202229975405
POVRATIO97,-0.0018519113763853278,0.0022434702352638132,-0.8254673261433123,0.40910632531984503,-0.0062490322378900036,0.002545209485119348
ASVAB_SCORE,-0.0004777488529988497,0.000235150614731517,-2.0316717162075846,0.04218690108823426,-0.0009386355888150768,-1.686211718262252e-05
