,coef,se,t,p,ci_low,ci_high
const,0.2987326924259578,0.040306314262736606,7.411560642302084,1.2482169699215934e-13,0.21973376812144094,0.3777316167304746
FEMALE,-0.10527184853990226,0.011207838009513667,-9.392698971072141,5.848209582257679e-21,-0.12723880738310814,-0.08330488969669639
RACE_BLACK,0.06141272626770095,0.01662962316468256,3.6929716121365432,0.00022164877378422662,0.028819263788450143,0.09400618874695177
RACE_HISPANIC,0.008777567470475554,0.01648150499828494,0.5325707495394957,0.594330754681677,-0.02352558873717981,0.04108072367813092
RACE_MIXED,0.04337576430469113,0.0671448375350761,0.6460029675703939,0.5182774335514565,-0.08822569901185119,0.17497722762123347
BIOMOMAGE,-0.0028316713646542296,0.0012101557435049717,-2.339923088290161,0.01928771144201224,-0.005203533037608265,-0.0004598096917001939
NUMSIBS,-0.010244642020378388,0.0048927545887948055,-2.093839336197296,0.03627429474804443,-0.01983426479960929,-0.0006550192411474871
FAM_ONE_PARENT,0.04643618018763766,0.01444175345051085,3.2154115043416054,0.0013025765012644138,0.01813086355102934,0.07474149682424598
FAM_BIO_STEP,0.02450081023892556,0.017967973173767183,1.3635823029108352,0.17269906503212018,-0.010715770056839966,0.05971739053469109
FAM_OTHER,0.11481443942635657,0.09148936178482855,1.2549485228281039,0.20949744769090173,-0.06450141464046256,0.2941302934931757
PAR_ED_HS,-0.05133124894236704,0.021043991427830363,-2.439235404481406,0.014718376862267518,-0.09257671423188418,-0.0100857836528499
PAR_ED_SOME_COL,-0.03709847883787935,0.02141953037334947,-1.7319931012137357,0.08327479076114248,-0.07907998693540609,0.004883029259647384
PAR_ED_COL,-0.055353372459210584,0.022502102419844922,-2.459920029978784,0.013896797725503977,-0.09945668277853822,-0.011250062139882937
POVRATIO97,-0.002489175003503895,0.0022380462960055066,-1.1122088975311217,0.26604834321102366,-0.006875665139407957,0.0018973151324001673
