,coef,se,t,p,ci_low,ci_high
const,0.2944405609018862,0.033184273014939064,8.872894722428708,7.126870066059516e-19,0.22940058093946125,0.35948054086431114
FEMALE,-0.10496341946715233,0.011236052230362847,-9.341663541177997,9.483224238132483e-21,-0.12698567716707446,-0.08294116176723021
RACE_BLACK,0.08395228980158048,0.015617516858304337,5.375520997561168,7.636155181230248e-08,0.05334251923135685,0.11456206037180411
RACE_HISPANIC,0.031273491215808316,0.015223634403297081,2.054272349645707,0.03994933935500218,0.0014357160715411203,0.06111126636007551
RACE_MIXED,0.04614563321341721,0.06660129027609031,0.6928639523667512,0.48839493359542874,-0.0843904970516175,0.17668176347845194
BIOMOMAGE,-0.00428401172269976,0.0011143974166649855,-3.8442405363073777,0.00012092635193973383,-0.006468190523827608,-0.0020998329215719124
NUMSIBS,-0.009005515477646877,0.0047542274949880165,-1.894212148480618,0.05819685624384539,-0.018323630142133472,0.0003125991868397158
