,coef,se,t,p,ci_low,ci_high
const,0.47903442559561604,0.05029859468186188,9.523813311793383,1.669382532622721e-21,0.3804509915461889,0.5776178596450432
FEMALE,-0.15205217516900435,0.014423041979731458,-10.542309686311777,5.512807145703893e-26,-0.18032081799678729,-0.12378353234122141
RACE_BLACK,0.08159059912781935,0.02054858407030276,3.970619038697454,7.168612772689368e-05,0.041316114416732476,0.12186508383890624
RACE_HISPANIC,0.001645977678850788,0.021166137485843024,0.07776466915381706,0.9380152512402956,-0.0398388894852247,0.04313084484292628
RACE_MIXED,0.07064091297748867,0.08679432261272182,0.8138886375401532,0.41570875052237755,-0.0994728334059965,0.24075465936097384
BIOMOMAGE,-0.004033532288921337,0.0015048744053115654,-2.680311575959221,0.007355366116615935,-0.006983031924588137,-0.0010840326532545368
NUMSIBS,0.0004889085256009115,0.006617836964778088,0.07387739048317667,0.941107946457656,-0.012481813580922008,0.013459630632123831
FAM_ONE_PARENT,0.10225510619903802,0.01835874248460877,5.569831718308842,2.5498549064365598e-08,0.06627263212775944,0.1382375802703166
FAM_BIO_STEP,0.07976929670166286,0.023284936421696316,3.4257897576793828,0.0006130146854188744,0.03413165993283312,0.1254069334704926
FAM_OTHER,0.17406191857875697,0.10151258624451895,1.7146831247061765,0.08640333916033742,-0.024899094438016273,0.37302293159553024
PAR_ED_HS,-0.03847790563213777,0.025691147546126576,-1.4977106632957329,0.13420844017083414,-0.08883162954405044,0.011875818279774901
PAR_ED_SOME_COL,-0.029354185976127788,0.02628968393556416,-1.1165667129386074,0.2641796308308062,-0.08088101965477476,0.022172647702519192
PAR_ED_COL,-0.08374088728141554,0.02801835194692849,-2.9887870435789723,0.0028008727305654643,-0.1386558480035631,-0.028825926559267995
POVRATIO97,-0.005280843117313325,0.0028040784551386267,-1.8832722414153185,0.05966348325263186,-0.010776735899209747,0.00021504966458309703
