,coef,se,t,p,ci_low,ci_high
const,0.5399849200344419,0.0424648170097597,12.716054325874923,4.815700018585523e-37,0.45675540808522896,0.6232144319836548
FEMALE,-0.1506261820502336,0.01452619049409582,-10.36928313114548,3.4208130839643354e-25,-0.1790969922512295,-0.12215537184923769
RACE_BLACK,0.13010400902488323,0.01943940139325881,6.692799145039552,2.189415622628368e-11,0.09200348241307821,0.16820453563668825
RACE_HISPANIC,0.03755096602259195,0.019731831143613054,1.9030654453348455,0.05703200612041887,-0.0011227123679154252,0.07622464441309931
RACE_MIXED,0.07731723431616078,0.08478003457067283,0.9119745551850295,0.36178211227495594,-0.08884858005041868,0.24348304868274023
BIOMOMAGE,-0.007729855770404069,0.0014160478266013053,-5.458753316938952,4.794893957717337e-08,-0.010505258510928848,-0.004954453029879291
NUMSIBS,0.0009177502520561214,0.006406364501830564,0.14325601545055422,0.8860879920465999,-0.01163849344336767,0.013473993947479912
