,coef,se,t,p,ci_low,ci_high
const,0.5401639837848583,0.050573539865510976,10.680762810380758,1.2523829571129221e-26,0.44104166707775616,0.6392863004919604
FEMALE,-0.1448892485913442,0.014400755247847003,-10.061225685576872,8.197136809352699e-24,-0.1731142102273005,-0.11666428695538789
RACE_BLACK,0.04239291251693209,0.02149454314119435,1.9722639480383262,0.048579482926485514,0.00026438209604872503,0.08452144293781547
RACE_HISPANIC,-0.01949464952403777,0.021406796923930015,-0.9106756883485585,0.36246627746592963,-0.06145120051930342,0.022461901471227872
RACE_MIXED,0.08071251942236538,0.08252156584730347,0.9780778950767182,0.32803579970339836,-0.08102677758619997,0.24245181643093072
BIOMOMAGE,-0.003534099175931446,0.0015069321883829753,-2.345227743607851,0.019015460507288924,-0.006487631992306205,-0.0005805663595566863
NUMSIBS,-0.00053460754600404,0.006561847559841931,-0.08147210692241658,0.9350665065707674,-0.013395592435336261,0.012326377343328181
FAM_ONE_PARENT,0.09820791894339674,0.018221608593227974,5.389640461265068,7.059878250006698e-08,0.06249422236028435,0.13392161552650914
FAM_BIO_STEP,0.06750049713314338,0.023112459477935686,2.920524195946465,0.0034944306097003924,0.022200908962248016,0.11280008530403873
FAM_OTHER,0.14818845993746085,0.10132513627563627,1.462504422736147,0.1436030332728826,-0.05040515789139918,0.34678207776632086
PAR_ED_HS,-0.020026897922073725,0.025771122889394853,-0.7771061434934622,0.4370961496991064,-0.07053737062644345,0.030483574782296005
PAR_ED_SOME_COL,0.004786686128793306,0.02669529808825302,0.17930821049342904,0.8576957002921971,-0.047535136680743564,0.05710850893833018
PAR_ED_COL,-0.02913915449277476,0.029051434609580366,-1.0030194682077926,0.31585146813240794,-0.08607892002677273,0.027800611041223208
POVRATIO97,-0.002498179891318947,0.0027765081730325345,-0.8997560012907889,0.3682501138656402,-0.007940035913243819,0.0029436761306059246
ASVAB_SCORE,-0.0020651922027386787,0.00029514490683220997,-6.997214435798282,2.6110151195409253e-12,-0.00264366559035024,-0.0014867188151271174
