,coef,se,t,p,ci_low,ci_high
const,0.3323645968110983,0.04727066568654044,7.031096177385414,2.049171844056722e-12,0.23971579454024572,0.4250133990819509
FEMALE,-0.08715935214354861,0.013749518629081844,-6.33908389775889,2.3113535652395778e-10,-0.11410791346131156,-0.06021079082578566
RACE_BLACK,0.0733202082266155,0.020026484121801982,3.6611622779454787,0.00025107366137653116,0.03406902061092036,0.11257139584231064
RACE_HISPANIC,-0.018191307278326227,0.019516399994019232,-0.9321036299676643,0.35128297226644356,-0.05644274837448165,0.020060133817829194
RACE_MIXED,0.06857482920413331,0.08090633181295802,0.8475829724015533,0.3966702605590734,-0.08999866727051163,0.22714832567877824
BIOMOMAGE,-0.002566145514879043,0.0014064784500661231,-1.8245181892110756,0.06807376903679543,-0.005322792622040362,0.0001905015922822749
NUMSIBS,-0.000987951266663849,0.006028624148803754,-0.16387673908314318,0.8698281790436818,-0.012803837474647646,0.010827934941319946
FAM_ONE_PARENT,0.056425482517757,0.01678301492336722,3.362058770453397,0.0007736365595720256,0.023531377715959,0.089319587319555
FAM_BIO_STEP,0.03728324242193545,0.020987319946499626,1.7764651473831343,0.07565628153230979,-0.003851148805222908,0.07841763364909382
FAM_OTHER,0.1657679339020929,0.09518963963024482,1.7414493273217844,0.08160484818001876,-0.020800331474533557,0.3523361992787194
PAR_ED_HS,-0.020361586523920075,0.02339896139536514,-0.8701918935578608,0.3841955452692314,-0.06622270813447884,0.025499535086638686
PAR_ED_SOME_COL,-0.0115131773242814,0.024118476507619627,-0.4773592279198937,0.6331063421977472,-0.05878452264119125,0.03575816799262845
PAR_ED_COL,-0.0389453537209649,0.02624443363520267,-1.4839471966629143,0.13782292951031988,-0.09038349844061375,0.012492790998683938
POVRATIO97,-0.0022567757149229944,0.0025606148820886254,-0.8813413257530561,0.37813310480760365,-0.007275488662093977,0.0027619372322479885
ASVAB_SCORE,-0.0015875381759318458,0.0002729143779058301,-5.816982557363213,5.991939158910332e-09,-0.0021224405274904265,-0.001052635824373265
EARLY_DESTROY,0.11646717113742437,0.011999954456064246,9.705634430851278,2.8529583501916823e-22,0.09294769258741752,0.13998664968743124
EARLY_STEAL_UNDER,0.03950637536197124,0.012111877777062576,3.261787815989049,0.0011071197907118345,0.015767531133777542,0.06324521959016494
EARLY_STEAL_OVER,0.04105721884518561,0.02141280887229824,1.9174139689025735,0.05518536098694814,-0.0009111153523586671,0.08302555304272988
EARLY_OTHER_PROP,0.07138923065949,0.02097691010152453,3.4032290892213757,0.000665944178827556,0.030275242353567475,0.11250321896541253
EARLY_GANG,0.07612604460986153,0.011094288704949573,6.861732791927334,6.803022836804858e-12,0.05438163831407085,0.0978704509056522
EARLY_GUN,0.06276009375703792,0.01715670827914179,3.6580498272700885,0.0002541416467399809,0.02913356343665985,0.096386624077416
EARLY_RUNAWAY,0.1375680742577891,0.017687894104986352,7.777527016006253,7.39559797590171e-15,0.10290043884965752,0.1722357096659207
