EVER_ASSAULT,FEMALE,RACE_BLACK,RACE_HISPANIC,RACE_MIXED,BIOMOMAGE,NUMSIBS,FAM_ONE_PARENT,FAM_BIO_STEP,FAM_OTHER,PAR_ED_HS,PAR_ED_SOME_COL,PAR_ED_COL,POVRATIO97,ASVAB_SCORE,EARLY_DESTROY,EARLY_STEAL_UNDER,EARLY_STEAL_OVER,EARLY_OTHER_PROP,EARLY_GANG,EARLY_GUN,EARLY_RUNAWAY,EARLY_SMOKING,EARLY_ALCOHOL,EARLY_MARIJUANA,EARLY_HARD_DRUGS,EVER_ARR_BY17
1,1,0,0,0,26.0,3,0,0,0,1.0,0.0,0.0,3.6500000953674316,43.86399841308594,2.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0
1,0,0,0,0,21.0,3,1,0,0,0.0,1.0,0.0,3.609999895095825,76.83799743652344,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0
1,1,0,0,0,24.0,0,0,0,0,0.0,1.0,0.0,6.070000171661377,65.34500122070312,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0
0,0,0,0,0,27.0,1,0,0,0,0.0,1.0,0.0,4.900000095367432,80.70099639892578,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
1,0,0,0,0,30.0,1,0,0,0,0.0,1.0,0.0,4.900000095367432,59.60499954223633,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0
0,1,0,0,0,26.0,1,1,0,0,0.0,0.0,1.0,7.360000133514404,71.6240005493164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0,0,0,0,0,30.0,1,0,0,0,0.0,0.0,1.0,2.640000104904175,89.33399963378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,32.0,0,1,0,0,0.0,0.0,1.0,6.659999847412109,94.83300018310547,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
0,1,0,0,0,34.0,1,0,0,0,0.0,0.0,1.0,16.270000457763672,98.91400146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0,24.0,2,0,1,0,0.0,0.0,1.0,2.5999999046325684,79.40899658203125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,0,16.0,2,1,0,0,0.0,0.0,0.0,2.069999933242798,55.540000915527344,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
1,0,1,0,0,19.0,2,0,0,0,0.0,1.0,0.0,6.409999847412109,42.097999572753906,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1,0,1,0,0,22.0,2,0,1,0,0.0,0.0,1.0,3.7100000381469727,62.21900177001953,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
0,0,1,0,0,24.0,2,0,1,0,0.0,0.0,1.0,3.7100000381469727,39.584999084472656,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
0,0,1,0,0,19.0,0,0,0,0,1.0,0.0,0.0,2.950000047683716,18.371000289916992,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
