,coef,se,t,p,ci_low,ci_high
const,0.2624459480257345,0.047237010856293414,5.5559389400010835,2.761233914410622e-08,0.16986310801007187,0.35502878804139715
FEMALE,-0.07387742742368433,0.016281514939540772,-4.537503278903608,5.692414567148222e-06,-0.10578861031893508,-0.04196624452843358
RACE_BLACK,0.12420913034841657,0.028264652831494368,4.394504014923348,1.1102595191479144e-05,0.06881142876315954,0.1796068319336736
RACE_HISPANIC,0.0025864501045496924,0.027968201171018333,0.09247824301370751,0.9263180766952027,-0.052230216903017206,0.05740311711211659
RACE_MIXED,0.062310242944927464,0.07737354464378134,0.8053171562941372,0.42063668399262544,-0.08933911791308596,0.21395960380294088
BIOMOMAGE,-0.0027945125007026632,0.0013761147953039355,-2.030726295683387,0.04228276732861855,-0.005491647938091085,-9.737706331424106e-05
NUMSIBS,0.002241967945999416,0.0058484843411819015,0.3833417027746276,0.7014664221740932,-0.009220850726863575,0.01370478661886241
FAM_ONE_PARENT,0.04040558077195529,0.016496384851638932,2.4493597315620916,0.014311043866929425,0.00807326058763086,0.07273790095627972
FAM_BIO_STEP,0.020383522011629646,0.020682795856071114,0.9855303003267026,0.32436365546203005,-0.02015401296586401,0.0609210569891233
FAM_OTHER,0.15995730164790556,0.09659387438106748,1.6559776970625106,0.09772633550252453,-0.029363213266172916,0.34927781656198403
PAR_ED_HS,-0.017774904125762728,0.022804909723341992,-0.7794332159784524,0.43572456368529167,-0.06247170585420032,0.02692189760267486
PAR_ED_SOME_COL,-0.005826538841897171,0.023510856851566377,-0.2478233302462129,0.8042711029745504,-0.051906971516644036,0.0402538938328497
PAR_ED_COL,-0.026700023631141677,0.025617200630193057,-1.0422693726992316,0.2972868078211651,-0.07690881425105685,0.023508766988773494
POVRATIO97,-0.002557515047406014,0.0025706270612398494,-0.9948992936270143,0.3197852464709152,-0.007595851505120158,0.0024808214103081306
ASVAB_SCORE,-0.0012755582363205592,0.0002695598290396413,-4.732004174601908,2.2231383995234473e-06,-0.0018038857929170305,-0.0007472306797240881
EARLY_DESTROY,0.10170288544196374,0.012079126902115732,8.419721579723603,3.773800701987043e-17,0.07802823174912803,0.12537753913479943
EARLY_STEAL_UNDER,0.010794263782392836,0.012448126308083503,0.8671396413597852,0.38586550278764153,-0.013603615456456379,0.03519214302124205
EARLY_STEAL_OVER,0.01478598426797146,0.021191849812172845,0.69772032168132,0.48535211679364587,-0.026749278129669228,0.05632124666561215
EARLY_OTHER_PROP,0.054976881592867136,0.020813747325626852,2.6413735466643744,0.008257062436214952,0.014182686451321633,0.09577107673441264
EARLY_GANG,0.06679723780841208,0.010967659785761086,6.090382006116976,1.1264157966012634e-09,0.04530101963363207,0.0882934559831921
EARLY_GUN,0.047588705268147354,0.01664434958301009,2.8591507905315847,0.004247768156686944,0.014966379539353307,0.08021103099694141
EARLY_RUNAWAY,0.09096071819930403,0.01810773392492258,5.0233076417204385,5.07890911060925e-07,0.05547021186482166,0.1264512245337864
EARLY_SMOKING,0.03155768434734391,0.0073060946177200495,4.319364311379784,1.5647928340015003e-05,0.017238002028970682,0.045877366665717144
EARLY_ALCOHOL,0.008354939030867023,0.007286369387848737,1.1466532351215009,0.2515249652996753,-0.005926082547371661,0.022635960609105707
EARLY_MARIJUANA,0.017120205436510584,0.011784165369513341,1.4528144250930186,0.1462752857266591,-0.005976334275599703,0.04021674514862087
EARLY_HARD_DRUGS,0.028633868540960228,0.01950123201707156,1.4683107465155982,0.14201983314667757,-0.009587843866659423,0.06685558094857988
EVER_ARR_BY17,0.17120443368896213,0.024524142522017973,6.981056872233286,2.9296767626165257e-12,0.12313799759407962,0.21927086978384464
FEMALE_x_BLACK,-0.03584645305052612,0.034723951396471914,-1.0323264377731003,0.30191922003777305,-0.10390414718853039,0.032211241087478144
FEMALE_x_HISPANIC,-0.016935537887204883,0.03379494544922189,-0.501126356681094,0.616282198640727,-0.08317241382717558,0.04930133805276582
